1;Ronde 1;05-09-2015;05-09-2015
2;Ronde 2;12-09-2015;12-09-2015
3;Ronde 3;19-09-2015;19-09-2015
4;Ronde 4;26-09-2015;26-09-2015
5;Ronde 5;03-10-2015;03-10-2015
6;Ronde 6;10-10-2015;10-10-2015
7;Ronde 7;17-10-2015;17-10-2015
8;Ronde 8;31-10-2015;31-10-2015
9;Ronde 9;07-11-2015;07-11-2015
10;Ronde 10;14-11-2015;14-11-2015
11;Ronde 11;28-11-2015;28-11-2015
12;Ronde 12;05-12-2015;05-12-2015
13;Ronde 13;13-02-2016;13-02-2016
14;Ronde 14;20-02-2016;20-02-2016
15;Ronde 15;05-03-2016;05-03-2016
16;Ronde 16;12-03-2016;12-03-2016
17;Ronde 17;19-03-2016;19-03-2016
18;Ronde 18;02-04-2016;02-04-2016
19;Ronde 19;09-04-2016;09-04-2016
20;Ronde 20;16-04-2016;16-04-2016
21;Ronde 21;23-04-2016;23-04-2016
22;Ronde 22;07-05-2016;07-05-2016
